otherCatalogNumbers,CatalogNumbers,institutionCode,collectionCode,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,identifiedBy,decimalLatitude,decimalLongitude,country,stateProvince,macroRegion,eventDate,locality,recordedBy,associatedSequences
CTGAH3846,CTGAH3846,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3846
CTGAH3850,CTGAH3850,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3850
CTGAH3851,CTGAH3851,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3851
CTGAH4265,CTGAH4265,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4265
CTGAH4266,CTGAH4266,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4266
CTGAH4251,CTGAH4251,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4251
CTGAH549,CTGAH549,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH549
CTGAH4252,CTGAH4252,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4252
CTGAH532,CTGAH532,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH532
CTGAH3847,CTGAH3847,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3847
CTGAH3848,CTGAH3848,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3848
CTGAH3849,CTGAH3849,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3849
CTGAH3857,CTGAH3857,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3857
CTGAH3858,CTGAH3858,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3858
CTGAH3859,CTGAH3859,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3859
MTR4378,MTR4378,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,MTR4378
CTGAH4220,CTGAH4220,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4220
CTGAH3883,CTGAH3883,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3883
CTGAH3889,CTGAH3889,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH3889
CTGAH3900,CTGAH3900,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3900
CTGAH4393,CTGAH4393,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH4393
CTGAH3291,CTGAH3291,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3291
CTGAH3308,CTGAH3308,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3308
CTGAH3307,CTGAH3307,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3307
CTGAH3297,CTGAH3297,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3297
CTGAH3296,CTGAH3296,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3296
CTGAH3305,CTGAH3305,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3305
CTGAH3295,CTGAH3295,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Brazilian Shield,NA,NA,NA,CTGAH3295
CTGAH4428,CTGAH4428,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4428
CTGAH4433,CTGAH4433,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4433
CTGAH4425,CTGAH4425,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Amazon,NA,NA,NA,CTGAH4425
CTGAH4516,CTGAH4516,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Peru,NA,southwestern Amazon,NA,NA,NA,CTGAH4516
CTGAH4515,CTGAH4515,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Peru,NA,southwestern Amazon,NA,NA,NA,CTGAH4515
CTGAH4514,CTGAH4514,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Peru,NA,southwestern Amazon,NA,NA,NA,CTGAH4514
CTGAH4513,CTGAH4513,UFAM,CTGA,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Peru,NA,southwestern Amazon,NA,NA,NA,CTGAH4513
JA1712,JA1712,,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Peru,NA,southwestern Amazon,NA,NA,NA,JA1712
EU496817,EU496817,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus cf. fuscus,species,NA,NA,NA,NA,Costa Rica,NA,Caribbean,NA,NA,NA,EU496817
EU496818,EU496818,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus cf. fuscus,species,NA,NA,NA,NA,Costa Rica,NA,Caribbean,NA,NA,NA,EU496818
EU496819,EU496819,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus cf. fuscus,species,NA,NA,NA,NA,Costa Rica,NA,Caribbean,NA,NA,NA,EU496819
EU496820,EU496820,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus cf. fuscus,species,NA,NA,NA,NA,Costa Rica,NA,Caribbean,NA,NA,NA,EU496820
EU496821,EU496821,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus cf. fuscus,species,NA,NA,NA,NA,Costa Rica,NA,Caribbean,NA,NA,NA,EU496821
EU496822,EU496822,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus chiapasius,species,NA,NA,NA,NA,El Salvador,NA,Pacific Coast,NA,NA,NA,EU496822
EU496823,EU496823,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus chiapasius,species,NA,NA,NA,NA,El Salvador,NA,Pacific Coast,NA,NA,NA,EU496823
EU496824,EU496824,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus chiapasius,species,NA,NA,NA,NA,El Salvador,NA,Pacific Coast,NA,NA,NA,EU496824
EU496825,EU496825,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus chiapasius,species,NA,NA,NA,NA,El Salvador,NA,Pacific Coast,NA,NA,NA,EU496825
EU496826,EU496826,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus chiapasius,species,NA,NA,NA,NA,El Salvador,NA,Pacific Coast,NA,NA,NA,EU496826
EU496827,EU496827,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus chiapasius,species,NA,NA,NA,NA,El Salvador,NA,Pacific Coast,NA,NA,NA,EU496827
EU496828,EU496828,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus chiapasius,species,NA,NA,NA,NA,El Salvador,NA,Pacific Coast,NA,NA,NA,EU496828
EU496829,EU496829,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Costa Rica,NA,Pacific Coast,NA,NA,NA,EU496829
EU496830,EU496830,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Costa Rica,NA,Pacific Coast,NA,NA,NA,EU496830
EU496831,EU496831,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Costa Rica,NA,Pacific Coast,NA,NA,NA,EU496831
EU496832,EU496832,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Costa Rica,NA,Pacific Coast,NA,NA,NA,EU496832
EU496833,EU496833,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Panama,NA,Caribbean,NA,NA,NA,EU496833
EU496834,EU496834,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Panama,NA,Caribbean,NA,NA,NA,EU496834
EU496835,EU496835,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Panama,NA,Caribbean,NA,NA,NA,EU496835
EU496836,EU496836,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Colombia,NA,Magdalena,NA,NA,NA,EU496836
EU496837,EU496837,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Panama,NA,Caribbean,NA,NA,NA,EU496837
EU496838,EU496838,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus cf. fuscus,species,NA,NA,NA,NA,Panama,NA,Caribbean,NA,NA,NA,EU496838
EU496839,EU496839,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus cf. fuscus,species,NA,NA,NA,NA,Panama,NA,Caribbean,NA,NA,NA,EU496839
EU496840,EU496840,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Panama,NA,Caribbean,NA,NA,NA,EU496840
EU496841,EU496841,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Panama,NA,Caribbean,NA,NA,NA,EU496841
EU496842,EU496842,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Panama,NA,Pacific Coast,NA,NA,NA,EU496842
EU496843,EU496843,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Panama,NA,Caribbean,NA,NA,NA,EU496843
EU496844,EU496844,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Panama,NA,Caribbean,NA,NA,NA,EU496844
EU496845,EU496845,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus chiapasius,species,NA,NA,NA,NA,Mexico,NA,Pacific Coast,NA,NA,NA,EU496845
EU496846,EU496846,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus chiapasius,species,NA,NA,NA,NA,Mexico,NA,Pacific Coast,NA,NA,NA,EU496846
EU496847,EU496847,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus chiapasius,species,NA,NA,NA,NA,Mexico,NA,Pacific Coast,NA,NA,NA,EU496847
EU496848,EU496848,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Panama,NA,Caribbean,NA,NA,NA,EU496848
EU496849,EU496849,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Panama,NA,Pacific Coast,NA,NA,NA,EU496849
EU496850,EU496850,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus fuscus (sensu stricto),species,NA,NA,NA,NA,Panama,NA,Pacific Coast,NA,NA,NA,EU496850
EU496853,EU496853,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Peru,NA,southwestern Amazon,NA,NA,NA,EU496853
EU496854,EU496854,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Peru,NA,southwestern Amazon,NA,NA,NA,EU496854
EU496855,EU496855,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Peru,NA,southwestern Amazon,NA,NA,NA,EU496855
EU496856,EU496856,Genbank,,MaterialSample,Other material,Caiman crocodilus (Linnaeus  1758),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus ,species,NA,NA,NA,NA,Peru,NA,southwestern Amazon,NA,NA,NA,EU496856
CTGAH4253,CTGAH4253,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,yacare (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Pantanal,NA,NA,NA,CTGAH4253
CTGAH4254,CTGAH4254,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus/yacare,species,NA,NA,NA,NA,Brazil,NA,Bolivia-Madeira,NA,NA,NA,CTGAH4254
CTGAH4255,CTGAH4255,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus/yacare,species,NA,NA,NA,NA,Brazil,NA,Bolivia-Madeira,NA,NA,NA,CTGAH4255
CTGAH4256,CTGAH4256,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus/yacare,species,NA,NA,NA,NA,Brazil,NA,Bolivia-Madeira,NA,NA,NA,CTGAH4256
CTGAH4257,CTGAH4257,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus/yacare,species,NA,NA,NA,NA,Brazil,NA,Bolivia-Madeira,NA,NA,NA,CTGAH4257
UFMT8B,UFMT8B,UFMT,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,yacare (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Pantanal,NA,NA,NA,UFMT8B
UFMT11,UFMT11,UFMT,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,yacare (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Pantanal,NA,NA,NA,UFMT11
UFMT15,UFMT15,UFMT,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,yacare (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Pantanal,NA,NA,NA,UFMT15
CTGAH4258,CTGAH4258,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus/yacare,species,NA,NA,NA,NA,Brazil,NA,Bolivia-Madeira,NA,NA,NA,CTGAH4258
CTGAH4306,CTGAH4306,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus/yacare,species,NA,NA,NA,NA,Brazil,NA,Bolivia-Madeira,NA,NA,NA,CTGAH4306
CTGAH4307,CTGAH4307,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus/yacare,species,NA,NA,NA,NA,Brazil,NA,Bolivia-Madeira,NA,NA,NA,CTGAH4307
CTGAH4308,CTGAH4308,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,yacare (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Pantanal,NA,NA,NA,CTGAH4308
CTGAH4309,CTGAH4309,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,yacare (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Pantanal,NA,NA,NA,CTGAH4309
CTGAH4310,CTGAH4310,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,yacare (sensu stricto),species,NA,NA,NA,NA,Brazil,NA,Pantanal,NA,NA,NA,CTGAH4310
CTGAH2311,CTGAH2311,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus/yacare,species,NA,NA,NA,NA,Brazil,NA,Bolivia-Madeira,NA,NA,NA,CTGAH2311
CTGAH3919,CTGAH3919,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus/yacare,species,NA,NA,NA,NA,Brazil,NA,Bolivia-Madeira,NA,NA,NA,CTGAH3919
CTGAH3923,CTGAH3923,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus/yacare,species,NA,NA,NA,NA,Brazil,NA,Bolivia-Madeira,NA,NA,NA,CTGAH3923
CTGAH3926,CTGAH3926,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus/yacare,species,NA,NA,NA,NA,Brazil,NA,Bolivia-Madeira,NA,NA,NA,CTGAH3926
CTGAH3930,CTGAH3930,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus/yacare,species,NA,NA,NA,NA,Brazil,NA,Bolivia-Madeira,NA,NA,NA,CTGAH3930
CTGAH3946,CTGAH3946,UFAM,CTGA,MaterialSample,Other material,Caiman yacare (Daudin  1802),Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,crocodilus/yacare,species,NA,NA,NA,NA,Brazil,NA,Bolivia-Madeira,NA,NA,NA,CTGAH3946
